"Dias desde o início da epidemia";"#BR: Mato Grosso";"#BR: Mato Grosso do Sul";"#BR: Minas Gerais";"#BR: Pará";"#BR: Paraíba";"#BR: Paraná";"#BR: Pernambuco";"#BR: Piauí";"#BR: Rio de Janeiro";"#BR: Rio Grande do Norte"
"Dia 1";0;0;0;0;0;0;0;0;0;0
"Dia 2";0;0;0;0;0;0;0;0;0;0
"Dia 3";0;0;0;0;0;0;0;0;0;0
"Dia 4";0;0;0;0;0;0;0;0;0;0
"Dia 5";0;0;0;0;0;0;0;0;0;0
"Dia 6";0;0;0;0;0;0;0;1;0;0
"Dia 7";0;0;0;0;0;0;1;1;0;0
"Dia 8";0;0;0;0;0;0;3;3;0;0
"Dia 9";0;0;0;0;1;0;4;4;0;1
"Dia 10";0;0;0;0;1;0;5;4;0;1
"Dia 11";0;0;0;1;1;2;5;4;0;1
"Dia 12";1;0;0;1;2;2;6;4;2;2
"Dia 13";1;0;0;1;4;2;6;4;2;2
"Dia 14";1;1;0;1;4;3;8;4;3;4
"Dia 15";1;1;0;1;4;3;9;5;3;5
"Dia 16";1;1;0;3;4;3;10;6;4;7
"Dia 17";1;1;1;5;7;4;14;7;6;7
"Dia 18";2;1;2;6;11;4;21;7;6;8
"Dia 19";2;1;3;7;11;6;30;7;9;11
"Dia 20";3;1;4;9;13;9;34;8;10;11
"Dia 21";3;2;6;10;13;11;46;8;13;13
"Dia 22";4;2;6;13;16;15;56;8;17;15
"Dia 23";4;2;6;15;21;17;65;8;18;17
"Dia 24";4;2;9;19;24;22;72;8;23;18
"Dia 25";5;2;11;21;26;25;85;9;28;19
"Dia 26";5;2;14;24;26;26;102;10;41;20
"Dia 27";5;4;15;26;29;30;115;12;47;23
"Dia 28";5;4;17;33;32;31;143;14;58;24
"Dia 29";6;4;17;34;33;36;160;15;64;25
"Dia 30";6;5;20;35;39;38;186;15;71;27
"Dia 31";7;5;23;38;40;41;205;16;89;28
"Dia 32";8;5;27;43;44;42;216;17;106;29
"Dia 33";9;5;30;53;46;46;234;18;122;34
"Dia 34";9;5;33;75;49;48;260;20;147;38
"Dia 35";10;6;35;86;50;51;282;21;155;40
"Dia 36";11;6;39;100;53;51;312;24;170;44
"Dia 37";11;7;39;114;58;57;352;24;188;45
"Dia 38";11;7;41;129;62;60;381;24;224;48
"Dia 39";11;7;44;137;67;64;415;26;265;53
"Dia 40";12;7;47;208;74;69;450;28;300;56
"Dia 41";12;9;51;235;76;72;508;28;341;56
"Dia 42";13;9;54;273;79;75;538;29;387;59
"Dia 43";13;9;58;309;85;77;565;30;402;61
"Dia 44";13;9;61;330;92;82;603;35;422;62
"Dia 45";13;9;62;369;101;83;628;37;461;68
"Dia 46";14;9;71;392;114;89;652;38;490;72
"Dia 47";16;10;80;410;124;90;691;42;530;76
"Dia 48";18;10;82;515;135;93;749;45;570;81
"Dia 49";19;10;88;578;139;94;803;49;615;87
"Dia 50";19;10;88;652;154;99;845;57;645;88
"Dia 51";20;10;89;708;157;101;927;60;677;92
"Dia 52";23;11;90;864;160;104;972;60;738;93
"Dia 53";26;11;94;946;170;106;1047;65;794;105
"Dia 54";27;11;97;1063;183;107;1087;72;854;117
"Dia 55";27;11;106;1145;194;109;1157;80;921;122
"Dia 56";29;12;111;1199;207;111;1224;85;971;136
"Dia 57";32;13;118;1239;219;113;1298;87;1019;139
"Dia 58";32;14;119;1329;230;117;1381;91;1065;146
"Dia 59";34;14;121;1519;245;119;1461;93;1123;160
"Dia 60";37;15;127;1633;248;120;1516;99;1205;170
"Dia 61";37;15;135;1852;258;123;1640;107;1394;178
"Dia 62";40;16;139;1937;272;124;1741;110;1503;181
"Dia 63";41;16;146;2001;279;127;1834;119;1653;184
"Dia 64";43;17;150;2148;286;129;1925;134;1714;200
"Dia 65";46;17;156;2372;298;137;2057;138;1770;209
"Dia 66";51;17;161;2469;318;141;2144;146;1928;220
"Dia 67";56;17;167;2545;327;146;2200;157;2050;242
"Dia 68";57;17;177;2704;347;150;2248;161;2247;254
"Dia 69";61;17;191;2827;360;153;2328;168;2438;268
"Dia 70";66;17;201;2900;370;156;2468;;2614;305
"Dia 71";;18;217;2923;;159;2566;;2715;323
"Dia 72";;18;226;2925;;162;2669;;2852
"Dia 73";;18;230;;;169;2740;;3079
"Dia 74";;19;234;;;173;2807;;3237
"Dia 75";;20;240;;;181;2875;;3412
"Dia 76";;20;255;;;182;;;3657
"Dia 77";;;257;;;190;;;3905
"Dia 78";;;263;;;;;;3993
"Dia 79";;;271;;;;;;4105
"Dia 80";;;278;;;;;;4361
"Dia 81";;;;;;;;;4605
"Dia 82";;;;;;;;;4856
"Dia 83";;;;;;;;;5079
"Dia 84";;;;;;;;;5277
"Dia 85";;;;;;;;;5344
"Dia 86";;;;;;;;;5462