"Dias desde o início da epidemia";"#BR: Acre";"#BR: Alagoas";"#BR: Amapá";"#BR: Amazonas";"#BR: Bahia";"#BR: Ceará";"#BR: Distrito Federal";"#BR: Espírito Santo";"#BR: Goiás";"#BR: Maranhão"
"Dia 1";3;1;1;1;1;5;1;1;3;1
"Dia 2";7;4;2;3;2;9;2;9;6;2
"Dia 3";9;5;4;11;3;20;6;11;8;8
"Dia 4";11;7;8;26;30;55;8;13;12;10
"Dia 5";17;9;10;32;33;68;13;26;15;13
"Dia 6";23;11;11;47;41;112;22;29;20;14
"Dia 7";24;14;19;54;49;163;26;33;21;16
"Dia 8";25;17;28;67;63;182;42;39;23;23
"Dia 9";34;18;29;81;76;200;87;47;27;31
"Dia 10";42;22;34;111;84;235;100;53;29;52
"Dia 11";43;23;48;140;104;282;117;60;39;71
"Dia 12";46;28;107;151;115;314;133;72;49;81
"Dia 13";48;31;128;175;127;348;160;84;56;88
"Dia 14";50;32;166;200;154;372;200;96;58;96
"Dia 15";50;37;193;229;176;390;230;120;61;133
"Dia 16";54;37;230;260;213;444;260;139;65;172
"Dia 17";62;45;242;311;246;550;289;153;71;230
"Dia 18";70;48;307;417;267;627;312;166;73;273
"Dia 19";72;50;334;532;282;730;332;194;88;293
"Dia 20";77;72;362;636;332;823;355;209;103;344
"Dia 21";90;82;370;804;401;1013;370;227;115;398
"Dia 22";99;89;393;899;431;1051;402;273;119;445
"Dia 23";101;110;416;981;456;1291;454;300;133;478
"Dia 24";110;132;433;1050;497;1425;468;349;158;630
"Dia 25";135;159;457;1206;559;1478;473;383;179;695
"Dia 26";142;171;479;1275;604;1582;492;430;191;797
"Dia 27";163;210;548;1484;635;1676;509;463;209;1040
"Dia 28";176;243;633;1554;673;1800;527;557;229;1205
"Dia 29";195;324;685;1719;723;2005;555;754;233;1320
"Dia 30";214;413;798;1809;759;2157;579;856;284;1396
"Dia 31";227;501;842;1897;807;2386;614;952;304;1604
"Dia 32";234;554;918;2044;951;2684;638;1099;318;1757
"Dia 33";258;643;1016;2160;1059;3034;651;1168;335;1951
"Dia 34";279;777;1080;2270;1193;3252;682;1212;378;2105
"Dia 35";279;957;1121;2479;1230;3482;716;1313;393;2223
"Dia 36";311;1044;1187;2888;1341;3716;746;1363;403;2410
"Dia 37";354;1226;1482;3194;1489;3910;762;1381;421;2528
"Dia 38";404;1372;1733;3635;1644;4598;827;1595;438;2804
"Dia 39";486;1441;1931;3833;1789;4800;872;1703;453;3190
"Dia 40";553;1538;2046;3928;1962;5421;881;1796;486;3506
"Dia 41";657;1606;2199;4337;2081;5833;946;1874;506;3805
"Dia 42";733;1703;2322;4801;2209;6726;963;2107;573;4040
"Dia 43";817;1867;2493;5254;2354;6918;989;2465;616;4227
"Dia 44";943;2033;2613;5723;2540;7267;1013;2662;661;4530
"Dia 45";1014;2172;2671;6062;2646;7606;1066;2948;705;5028
"Dia 46";1177;2258;2910;6683;2851;7879;1146;3086;781;5389
"Dia 47";1335;2343;3005;7242;3085;8231;1213;3226;808;5909
"Dia 48";1447;2580;3428;8109;3267;8370;1275;3402;825;6765
"Dia 49";1460;2761;3630;9243;3495;11040;1356;3568;850;7599
"Dia 50";1590;2972;3834;10099;3734;11470;1466;3838;861;8144
"Dia 51";1694;3212;3952;10727;4040;12304;1566;4242;922;8526
"Dia 52";1740;3593;4023;11925;4301;13888;1649;4412;1024;9112
"Dia 53";1785;3816;4310;12599;4528;14956;1768;4599;1027;9801
"Dia 54";1867;4031;4549;12919;4818;15879;1818;4819;1053;10739
"Dia 55";1997;4316;5188;14168;5174;16692;1906;5087;1069;11592
"Dia 56";2234;4437;5655;15816;5558;17599;2258;5401;1093;12492
"Dia 57";2482;4916;6091;17181;5808;18412;2442;5813;1100;13238
"Dia 58";2817;5302;6353;18392;6204;19156;2576;6198;1115;14198
"Dia 59";3103;5630;6584;19677;6547;21077;2682;6595;1134;15114
"Dia 60";3343;6214;6967;20328;6955;22490;2783;6744;1423;16058
"Dia 61";3867;6682;7619;20913;8128;23795;2979;7157;1572;17212
"Dia 62";4160;7058;8152;22132;8314;24255;3192;7693;1640;18767
"Dia 63";4501;7580;8469;23704;8443;26363;3416;8092;1692;21191
"Dia 64";4781;8055;9313;25367;8581;28112;3787;8878;1749;22786
"Dia 65";5251;8618;9602;27038;11013;30560;4140;9520;1846;24278
"Dia 66";5600;9223;9890;28802;11197;31413;4368;9918;1978;26145
"Dia 67";5841;10288;;29867;11941;34573;4619;10007;2114;27979
"Dia 68";6072;10837;;30282;12557;35122;4853;10365;2304;30482
"Dia 69";6219;;;31949;13000;35595;5161;10889;2377;32620
"Dia 70";6326;;;33508;13899;36185;5542;11484;2443;34639
"Dia 71";;;;36146;14204;37021;5948;12203;2512;35297
"Dia 72";;;;38909;14566;37275;6251;12903;2671
"Dia 73";;;;40560;15070;37821;6638;13437;2843
"Dia 74";;;;41378;15963;38395;6930;13690;3090
"Dia 75";;;;41774;16917;46506;7210;14069;3319
"Dia 76";;;;;17626;48489;7761;;3585
"Dia 77";;;;;18392;50504;8300;;3702
"Dia 78";;;;;18898;;8722;;3906
"Dia 79";;;;;;;9474
"Dia 80";;;;;;;9780
"Dia 81";;;;;;;10510